,importance
weather_temperature,0.008457905478326394
co2_comedor_sensor,0.01721628051737747
co2_habitacion_sensor,0.014431055770944648
humedad_comedor_sensor,0.024084332368974233
humedad_habitacion_sensor,0.06314052917759819
lighting_comedor_sensor,0.09723513200197031
lighting_habitacion_sensor,0.03268360540508551
precipitacion,0.03968293938623753
meteo_exterior_crepusculo,0.025743899443436694
meteo_exterior_viento,0.013594118965773241
meteo_exterior_sol_oest,0.039940902649149186
meteo_exterior_sol_est,0.18162175151176993
meteo_exterior_sol_sud,0.1196054919089838
meteo_exterior_piranometro,0.15809579069408555
temperature_exterior_sensor,0.09822441971154273
humedad_exterior_sensor,0.043698359111981395
day_of_week,0.009993111970299836
hour,0.010515579040598577
minute,0.0020347948858647773
