,importance
weather_temperature,0.005497441049514281
co2_comedor_sensor,0.013807101480136974
co2_habitacion_sensor,0.011624847492567677
humedad_comedor_sensor,0.01866696897412031
humedad_habitacion_sensor,0.05071715662431508
lighting_comedor_sensor,0.04686460303613539
lighting_habitacion_sensor,0.03036549849724141
precipitacion,0.03333439642682496
meteo_exterior_crepusculo,0.04291365297758506
meteo_exterior_viento,0.009183870755480363
meteo_exterior_sol_oest,0.05218684789273933
meteo_exterior_sol_est,0.012485522093091134
meteo_exterior_sol_sud,0.37926534505552156
meteo_exterior_piranometro,0.15906263143628768
temperature_exterior_sensor,0.07692724762980183
humedad_exterior_sensor,0.03566298988189059
day_of_week,0.00739978848200795
hour,0.008877555410980516
minute,0.005156534803757696
