,importance
weather_temperature,0.0017830181272474814
co2_comedor_sensor,0.0037537959011286017
co2_habitacion_sensor,0.0031155433649320227
humedad_comedor_sensor,0.005207440755734144
humedad_habitacion_sensor,0.014164200514612988
lighting_comedor_sensor,0.024583855045227056
lighting_habitacion_sensor,0.010562847168549567
precipitacion,0.0034113214596083814
meteo_exterior_crepusculo,0.005248383375542459
meteo_exterior_viento,0.003225984950774972
meteo_exterior_sol_oest,0.01275803977168438
meteo_exterior_sol_est,0.4965338511462393
meteo_exterior_sol_sud,0.3183055110343017
meteo_exterior_piranometro,0.059369395714963184
temperature_exterior_sensor,0.02230873449113094
humedad_exterior_sensor,0.009749147486956137
day_of_week,0.00241191202238604
hour,0.0027565606845277356
minute,0.0007504569844529016
