,importance
weather_temperature,0.008457905434747483
co2_comedor_sensor,0.01721630827973793
co2_habitacion_sensor,0.014431071293186598
humedad_comedor_sensor,0.024084334472966294
humedad_habitacion_sensor,0.06314051993992868
lighting_comedor_sensor,0.09723516715033646
lighting_habitacion_sensor,0.0326836119209409
precipitacion,0.03968293472560265
meteo_exterior_crepusculo,0.025743861433342254
meteo_exterior_viento,0.013594064307640047
meteo_exterior_sol_oest,0.03994092472420894
meteo_exterior_sol_est,0.18162176840065594
meteo_exterior_sol_sud,0.11960543781867525
meteo_exterior_piranometro,0.15809578987950532
temperature_exterior_sensor,0.09822444594247037
humedad_exterior_sensor,0.04369835443065727
day_of_week,0.009993119717109455
hour,0.010515577872374952
minute,0.002034802255913209
