,importance
weather_temperature,0.005522302010062538
co2_comedor_sensor,0.013828877567986097
co2_habitacion_sensor,0.011639919821926964
humedad_comedor_sensor,0.01868058030386651
humedad_habitacion_sensor,0.05066872161842521
lighting_comedor_sensor,0.04716285326697785
lighting_habitacion_sensor,0.03043631606866986
precipitacion,0.03322872764995177
meteo_exterior_crepusculo,0.0427902417114887
meteo_exterior_viento,0.01054863708156461
meteo_exterior_sol_oest,0.049275330379080905
meteo_exterior_sol_est,0.01337437728574515
meteo_exterior_sol_sud,0.3806217791406157
meteo_exterior_piranometro,0.15941774908234144
temperature_exterior_sensor,0.07705085778430425
humedad_exterior_sensor,0.03565419565965824
day_of_week,0.007384999244197915
hour,0.008883312033970596
minute,0.0038302222891657403
