,importance
weather_temperature,0.004673569401871671
co2_comedor_sensor,0.010132281157136434
co2_habitacion_sensor,0.00850055385308135
humedad_comedor_sensor,0.012007953787775087
humedad_habitacion_sensor,0.0317475082184497
lighting_comedor_sensor,0.028889947273909405
lighting_habitacion_sensor,0.031187592421471122
precipitacion,0.40521924343427684
meteo_exterior_crepusculo,0.01733091310061741
meteo_exterior_viento,0.008150700930326925
meteo_exterior_sol_oest,0.12016947339053753
meteo_exterior_sol_est,0.1175155708820261
meteo_exterior_sol_sud,0.03419125457567615
meteo_exterior_piranometro,0.08452111614169423
temperature_exterior_sensor,0.0508821884821233
humedad_exterior_sensor,0.02217278570589937
day_of_week,0.005955310320711086
hour,0.00536234569843873
minute,0.0013896912239775737
