,importance
weather_temperature,0.00467351434346615
co2_comedor_sensor,0.010132226739644413
co2_habitacion_sensor,0.00850034923541663
humedad_comedor_sensor,0.012007650504377073
humedad_habitacion_sensor,0.03174559522552842
lighting_comedor_sensor,0.028888697066434467
lighting_habitacion_sensor,0.031188267747398347
precipitacion,0.40520056959771195
meteo_exterior_crepusculo,0.017330665734636992
meteo_exterior_viento,0.008148608947186886
meteo_exterior_sol_oest,0.12021116037082227
meteo_exterior_sol_est,0.11750903394554828
meteo_exterior_sol_sud,0.03418201988899024
meteo_exterior_piranometro,0.0845192249998134
temperature_exterior_sensor,0.05088019557211489
humedad_exterior_sensor,0.022171335380886163
day_of_week,0.005955731130850928
hour,0.005362094746943076
minute,0.0013930588222294596
