,importance
weather_temperature,0.0047326137239071305
co2_comedor_sensor,0.010248813672523253
co2_habitacion_sensor,0.008606036159101526
humedad_comedor_sensor,0.012211272286324324
humedad_habitacion_sensor,0.03237807097727197
lighting_comedor_sensor,0.029578792913046638
lighting_habitacion_sensor,0.0315477784447278
precipitacion,0.41392475910585297
meteo_exterior_crepusculo,0.01790475047012405
meteo_exterior_viento,0.008239407768063003
meteo_exterior_sol_oest,0.11334632162666097
meteo_exterior_sol_est,0.1089137914646196
meteo_exterior_sol_sud,0.035339785851912775
meteo_exterior_piranometro,0.08597846100059926
temperature_exterior_sensor,0.051789491622034264
humedad_exterior_sensor,0.022655346787948057
day_of_week,0.006006128820099562
hour,0.005503177884223286
minute,0.0010951994209595767
