,importance
weather_temperature,0.006844636924022652
co2_comedor_sensor,0.014326757661225391
co2_habitacion_sensor,0.011437774046988335
humedad_comedor_sensor,0.020450621504780706
humedad_habitacion_sensor,0.05343850379251454
lighting_comedor_sensor,0.12248594933195212
lighting_habitacion_sensor,0.0540824713916158
precipitacion,0.011046203094473928
meteo_exterior_crepusculo,0.006510369630360181
meteo_exterior_viento,0.011410590367992197
meteo_exterior_sol_oest,0.05094226677257466
meteo_exterior_sol_est,0.04976617641424622
meteo_exterior_sol_sud,0.17327638075339022
meteo_exterior_piranometro,0.2738375565835373
temperature_exterior_sensor,0.08020823352283732
humedad_exterior_sensor,0.035326917871388794
day_of_week,0.009210759929834613
hour,0.010167046394211959
minute,0.005230784012052836
