,importance
weather_temperature,0.002811820679681354
co2_comedor_sensor,0.00577828071805949
co2_habitacion_sensor,0.004898430409706965
humedad_comedor_sensor,0.009454703441774404
humedad_habitacion_sensor,0.022993156110256867
lighting_comedor_sensor,0.0319405880112559
lighting_habitacion_sensor,0.01758875969469229
precipitacion,0.0049153906232158985
meteo_exterior_crepusculo,0.018528441149897767
meteo_exterior_viento,0.004701640196877396
meteo_exterior_sol_oest,0.21029243377330376
meteo_exterior_sol_est,0.09102017879910808
meteo_exterior_sol_sud,0.49158182250362037
meteo_exterior_piranometro,0.023302513097129912
temperature_exterior_sensor,0.03428389169590625
humedad_exterior_sensor,0.016104607563198075
day_of_week,0.003056412998736001
hour,0.004018273676342268
minute,0.0027286548572367617
