,importance
weather_temperature,0.004673577909742232
co2_comedor_sensor,0.010132444673722566
co2_habitacion_sensor,0.008500525540410492
humedad_comedor_sensor,0.012007894531559468
humedad_habitacion_sensor,0.03174602643378226
lighting_comedor_sensor,0.028889038690087823
lighting_habitacion_sensor,0.031189264099805384
precipitacion,0.4052061414546353
meteo_exterior_crepusculo,0.017330955853410997
meteo_exterior_viento,0.008148684371283249
meteo_exterior_sol_oest,0.12021347102704355
meteo_exterior_sol_est,0.11750118113781438
meteo_exterior_sol_sud,0.03417720146591592
meteo_exterior_piranometro,0.08452083613107292
temperature_exterior_sensor,0.05088086226081515
humedad_exterior_sensor,0.022171604172652428
day_of_week,0.005955741632548448
hour,0.005362147224094744
minute,0.0013924013896026717
