,importance
weather_temperature,0.004715401762163673
co2_comedor_sensor,0.010206669997636794
co2_habitacion_sensor,0.008573109885992119
humedad_comedor_sensor,0.012147710881099803
humedad_habitacion_sensor,0.03225075271466583
lighting_comedor_sensor,0.02943269962951199
lighting_habitacion_sensor,0.031273266330109135
precipitacion,0.4118270360290993
meteo_exterior_crepusculo,0.017585239968952535
meteo_exterior_viento,0.008412979678898959
meteo_exterior_sol_oest,0.11369919708245368
meteo_exterior_sol_est,0.10948667198115324
meteo_exterior_sol_sud,0.0379621363938258
meteo_exterior_piranometro,0.08553976444952696
temperature_exterior_sensor,0.05155588277435818
humedad_exterior_sensor,0.022545152288272356
day_of_week,0.006043390772274792
hour,0.00546947879017191
minute,0.0012734585898329124
