,importance
weather_temperature,0.004717867313798257
co2_comedor_sensor,0.01020750972273447
co2_habitacion_sensor,0.008579388884732761
humedad_comedor_sensor,0.012183884853142151
humedad_habitacion_sensor,0.03229629313574606
lighting_comedor_sensor,0.029431666397097888
lighting_habitacion_sensor,0.031389179113020665
precipitacion,0.41194934798785127
meteo_exterior_crepusculo,0.017533238874633445
meteo_exterior_viento,0.008014654709621368
meteo_exterior_sol_oest,0.11448822442865737
meteo_exterior_sol_est,0.11257922256402987
meteo_exterior_sol_sud,0.03369943532588478
meteo_exterior_piranometro,0.08564249676295056
temperature_exterior_sensor,0.05157274054179493
humedad_exterior_sensor,0.022565508895780937
day_of_week,0.0059907375608971945
hour,0.005462895996771975
minute,0.0016957069308540529
