,importance
weather_temperature,0.0028343527292001387
co2_comedor_sensor,0.005817152875606463
co2_habitacion_sensor,0.004933771677862857
humedad_comedor_sensor,0.009512790348360662
humedad_habitacion_sensor,0.023139711584258794
lighting_comedor_sensor,0.03220643281359889
lighting_habitacion_sensor,0.01773342218018158
precipitacion,0.004934718140289406
meteo_exterior_crepusculo,0.01878490140151177
meteo_exterior_viento,0.0046266448172175255
meteo_exterior_sol_oest,0.2115030722423707
meteo_exterior_sol_est,0.08993357916081351
meteo_exterior_sol_sud,0.49155268574373945
meteo_exterior_piranometro,0.02330105804468951
temperature_exterior_sensor,0.03451287949734884
humedad_exterior_sensor,0.016214525110635224
day_of_week,0.0030622553719604887
hour,0.004027774947368118
minute,0.0013682713129860961
