,importance
weather_temperature,0.0004898079400817133
co2_comedor_sensor,0.0010994527425028427
co2_habitacion_sensor,0.0008561526564149781
humedad_comedor_sensor,0.0017034124892570638
humedad_habitacion_sensor,0.0044520222350835055
lighting_comedor_sensor,0.0061848617431132106
lighting_habitacion_sensor,0.0017969741350083467
precipitacion,0.0003872766903017113
meteo_exterior_crepusculo,0.0013100363294509278
meteo_exterior_viento,0.0010283271233617619
meteo_exterior_sol_oest,0.001036109576989375
meteo_exterior_sol_est,0.05216500247704346
meteo_exterior_sol_sud,0.8275719991814628
meteo_exterior_piranometro,0.08740856284114419
temperature_exterior_sensor,0.007420762759866644
humedad_exterior_sensor,0.003265251347608043
day_of_week,0.000772946884359473
hour,0.0008431426951062645
minute,0.00020789815184365785
