,importance
weather_temperature,0.0004898543305128758
co2_comedor_sensor,0.0010976335375731813
co2_habitacion_sensor,0.0008535496000021531
humedad_comedor_sensor,0.0017035271955753296
humedad_habitacion_sensor,0.004442867920283924
lighting_comedor_sensor,0.006183761145931257
lighting_habitacion_sensor,0.0018084168593614559
precipitacion,0.0003956338687988445
meteo_exterior_crepusculo,0.0013170082463196473
meteo_exterior_viento,0.0009282036414547676
meteo_exterior_sol_oest,0.0010222817503479282
meteo_exterior_sol_est,0.051686000238666
meteo_exterior_sol_sud,0.8280857643813572
meteo_exterior_piranometro,0.08755085255997201
temperature_exterior_sensor,0.007407510771665933
humedad_exterior_sensor,0.0032579804477620555
day_of_week,0.0007629639748824651
hour,0.0008423652242395213
minute,0.00016382430529345617
