,importance
weather_temperature,0.004549246306044139
co2_comedor_sensor,0.01021144114339345
co2_habitacion_sensor,0.007966767211100376
humedad_comedor_sensor,0.013503724441968559
humedad_habitacion_sensor,0.03526644958704447
lighting_comedor_sensor,0.035315614241928216
lighting_habitacion_sensor,0.031268447901959553
precipitacion,0.005147703496715599
meteo_exterior_crepusculo,0.0166513363642138
meteo_exterior_viento,0.007784944060252072
meteo_exterior_sol_oest,0.13433992817122611
meteo_exterior_sol_est,0.3728872375250971
meteo_exterior_sol_sud,0.12332972103606014
meteo_exterior_piranometro,0.10452293557708718
temperature_exterior_sensor,0.05647063164111308
humedad_exterior_sensor,0.026552515545146062
day_of_week,0.006683913124081596
hour,0.005903442527614615
minute,0.001644000097953848
