,importance
weather_temperature,0.0004884093977224445
co2_comedor_sensor,0.001099323290095948
co2_habitacion_sensor,0.0008560607529007267
humedad_comedor_sensor,0.0016971320063387102
humedad_habitacion_sensor,0.004430931408153363
lighting_comedor_sensor,0.006210907536177004
lighting_habitacion_sensor,0.0017933249932098672
precipitacion,0.00038199300141750366
meteo_exterior_crepusculo,0.0012874956994043552
meteo_exterior_viento,0.0010969184529358335
meteo_exterior_sol_oest,0.001288276303635383
meteo_exterior_sol_est,0.05291751782125204
meteo_exterior_sol_sud,0.826498516709261
meteo_exterior_piranometro,0.08752608329177224
temperature_exterior_sensor,0.007388452348905052
humedad_exterior_sensor,0.003249057638770396
day_of_week,0.0007675875555685852
hour,0.0008401733421078178
minute,0.0001818384503717351
