,importance
weather_temperature,0.0055324681359812476
co2_comedor_sensor,0.01386564343971936
co2_habitacion_sensor,0.01172500320122345
humedad_comedor_sensor,0.018622625428574367
humedad_habitacion_sensor,0.050822685832417634
lighting_comedor_sensor,0.04704809395344066
lighting_habitacion_sensor,0.030361814442087257
precipitacion,0.032931915082551534
meteo_exterior_crepusculo,0.0426294914467854
meteo_exterior_viento,0.009473236737163064
meteo_exterior_sol_oest,0.05405360553761741
meteo_exterior_sol_est,0.012701706629674335
meteo_exterior_sol_sud,0.3818051412807073
meteo_exterior_piranometro,0.15852954235775002
temperature_exterior_sensor,0.0769108450185859
humedad_exterior_sensor,0.03547026127960025
day_of_week,0.007160105867773366
hour,0.00877997198069493
minute,0.0015758423476526522
