,importance
weather_temperature,0.005532468578107944
co2_comedor_sensor,0.013865643425752158
co2_habitacion_sensor,0.011725004084811943
humedad_comedor_sensor,0.018622625409815338
humedad_habitacion_sensor,0.050822685781222704
lighting_comedor_sensor,0.047048093906047965
lighting_habitacion_sensor,0.030361814411503058
precipitacion,0.03293191146778092
meteo_exterior_crepusculo,0.04262949498544116
meteo_exterior_viento,0.009473244786214804
meteo_exterior_sol_oest,0.05405361622796037
meteo_exterior_sol_est,0.012701693185888993
meteo_exterior_sol_sud,0.3818051408961057
meteo_exterior_piranometro,0.15852954219805934
temperature_exterior_sensor,0.07691084494111174
humedad_exterior_sensor,0.035470261243870184
day_of_week,0.007160103174362696
hour,0.008779970181051902
minute,0.001575841114891129
