,importance
weather_temperature,0.0055324686233110855
co2_comedor_sensor,0.013865643539041666
co2_habitacion_sensor,0.011725002389812554
humedad_comedor_sensor,0.01862262556197186
humedad_habitacion_sensor,0.050822686196470436
lighting_comedor_sensor,0.0470480907088578
lighting_habitacion_sensor,0.03036181465957485
precipitacion,0.03293191531844926
meteo_exterior_crepusculo,0.04262949175214875
meteo_exterior_viento,0.009473235014222944
meteo_exterior_sol_oest,0.05405360592481392
meteo_exterior_sol_est,0.012701704929860374
meteo_exterior_sol_sud,0.38180514401565196
meteo_exterior_piranometro,0.158529543493328
temperature_exterior_sensor,0.07691084556951328
humedad_exterior_sensor,0.03547026511527816
day_of_week,0.007160104575963529
hour,0.00877997025278882
minute,0.0015758423589407181
