,importance
weather_temperature,0.024652477
co2_comedor_sensor,0.031231966
co2_habitacion_sensor,0.017226746
humedad_comedor_sensor,0.03191653
humedad_habitacion_sensor,0.10797265
lighting_comedor_sensor,0.026976978
lighting_habitacion_sensor,0.030217638
precipitacion,0.01654839
meteo_exterior_crepusculo,0.099117704
meteo_exterior_viento,0.018950708
meteo_exterior_sol_oest,0.038256504
meteo_exterior_sol_est,0.014844885
meteo_exterior_sol_sud,0.0738558
meteo_exterior_piranometro,0.04306773
temperature_exterior_sensor,0.22925387
humedad_exterior_sensor,0.109301805
day_of_week,0.034140155
hour,0.04894062
minute,0.0035268557
