,importance
weather_temperature,0.024995195
co2_comedor_sensor,0.032545235
co2_habitacion_sensor,0.02372843
humedad_comedor_sensor,0.033485144
humedad_habitacion_sensor,0.10966616
lighting_comedor_sensor,0.028141476
lighting_habitacion_sensor,0.03201048
precipitacion,0.019556465
meteo_exterior_crepusculo,0.10557657
meteo_exterior_viento,0.019859277
meteo_exterior_sol_oest,0.030984052
meteo_exterior_sol_est,0.023275007
meteo_exterior_sol_sud,0.07266126
meteo_exterior_piranometro,0.040206958
temperature_exterior_sensor,0.20291616
humedad_exterior_sensor,0.09996575
day_of_week,0.03869441
hour,0.057991337
minute,0.0037406061
