,importance
weather_temperature,0.008635083
co2_comedor_sensor,0.016580855
co2_habitacion_sensor,0.057634346
humedad_comedor_sensor,0.009701281
humedad_habitacion_sensor,0.106810644
lighting_comedor_sensor,0.004198283
lighting_habitacion_sensor,0.0067239776
precipitacion,0.0078797685
meteo_exterior_crepusculo,0.029607909
meteo_exterior_viento,0.004537264
meteo_exterior_sol_oest,0.009167617
meteo_exterior_sol_est,0.0053341654
meteo_exterior_sol_sud,0.063293286
meteo_exterior_piranometro,0.008629913
temperature_exterior_sensor,0.51002634
humedad_exterior_sensor,0.13335837
day_of_week,0.006307865
hour,0.011544098
minute,2.883913e-05
